strain,rep,days_after_bleach,total,alive,percentage
GR1310,3,1,113,112,0.991150442
GR1318,3,1,113,112,0.991150442
LRB429,3,1,107,85,0.794392523
IC166,3,1,178,145,0.814606742
CF1038,3,1,101,91,0.900990099
N2,3,1,128,127,0.9921875
GR1310,3,3,137,103,0.751824818
GR1318,3,3,136,134,0.985294118
LRB429,3,3,73,61,0.835616438
IC166,3,3,138,86,0.623188406
CF1038,3,3,111,73,0.657657658
N2,3,3,91,91,1
GR1310,3,4,142,119,0.838028169
LRB429,3,4,114,97,0.850877193
IC166,3,4,157,97,0.617834395
GR1310,3,5,146,101,0.691780822
GR1318,3,5,114,102,0.894736842
LRB429,3,5,107,80,0.747663551
IC166,3,5,111,62,0.558558559
CF1038,3,5,122,81,0.663934426
N2,3,5,93,89,0.956989247
GR1310,3,6,134,81,0.604477612
GR1318,3,6,131,109,0.832061069
LRB429,3,6,65,43,0.661538462
IC166,3,6,141,13,0.092198582
CF1038,3,6,119,48,0.403361345
N2,3,6,86,86,1
GR1310,3,7,151,95,0.629139073
GR1318,3,7,98,89,0.908163265
LRB429,3,7,73,46,0.630136986
IC166,3,7,165,8,0.048484848
CF1038,3,7,74,34,0.459459459
N2,3,7,112,97,0.866071429
GR1310,3,9,160,71,0.44375
GR1318,3,9,116,102,0.879310345
LRB429,3,9,100,47,0.47
IC166,3,9,54,0,0
CF1038,3,9,87,28,0.32183908
N2,3,9,141,136,0.964539007
GR1310,3,10,86,25,0.290697674
GR1318,3,10,139,104,0.748201439
LRB429,3,10,77,30,0.38961039
CF1038,3,10,89,18,0.202247191
N2,3,10,114,103,0.903508772
GR1310,3,11,82,26,0.317073171
GR1318,3,11,114,76,0.666666667
LRB429,3,11,91,28,0.307692308
CF1038,3,11,78,25,0.320512821
N2,3,11,154,132,0.857142857
GR1310,3,12,107,31,0.289719626
GR1318,3,12,149,107,0.718120805
LRB429,3,12,88,39,0.443181818
CF1038,3,12,52,6,0.115384615
N2,3,12,97,70,0.721649485
GR1310,3,14,130,21,0.161538462
GR1318,3,14,100,64,0.64
LRB429,3,14,94,15,0.159574468
CF1038,3,14,70,3,0.042857143
N2,3,14,69,59,0.855072464
GR1310,3,15,101,8,0.079207921
GR1318,3,15,120,83,0.691666667
LRB429,3,15,72,9,0.125
CF1038,3,15,62,2,0.032258065
N2,3,15,104,75,0.721153846
GR1310,3,16,109,7,0.064220183
GR1318,3,16,102,61,0.598039216
LRB429,3,16,60,0,0
CF1038,3,16,40,0,0
N2,3,16,129,81,0.627906977
GR1310,3,20,101,0,0
GR1318,3,20,34,4,0.117647059
N2,3,20,86,13,0.151162791
GR1318,3,21,39,0,0
N2,3,21,155,5,0.032258065
N2,3,23,139,1,0.007194245
N2,3,24,74,0,0
GR1310,4,2,113,107,0.946902655
GR1318,4,2,122,111,0.909836066
LRB429,4,2,117,93,0.794871795
IC166,4,2,119,67,0.56302521
CF1038,4,2,141,111,0.787234043
N2,4,2,131,118,0.900763359
GR1310,4,3,113,102,0.902654867
GR1318,4,3,108,97,0.898148148
LRB429,4,3,115,82,0.713043478
CF1038,4,3,139,99,0.712230216
N2,4,3,107,93,0.869158879
GR1310,4,4,136,108,0.794117647
GR1318,4,4,110,94,0.854545455
LRB429,4,4,136,91,0.669117647
IC166,4,4,99,36,0.363636364
CF1038,4,4,125,83,0.664
N2,4,4,94,89,0.946808511
GR1310,4,6,122,84,0.68852459
GR1318,4,6,87,76,0.873563218
LRB429,4,6,124,71,0.572580645
IC166,4,6,117,17,0.145299145
CF1038,4,6,145,77,0.531034483
N2,4,6,105,105,1
GR1310,4,7,117,74,0.632478632
GR1318,4,7,117,103,0.88034188
LRB429,4,7,147,81,0.551020408
IC166,4,7,111,13,0.117117117
CF1038,4,7,138,56,0.405797101
N2,4,7,97,91,0.93814433
GR1310,4,8,130,69,0.530769231
GR1318,4,8,119,95,0.798319328
LRB429,4,8,143,90,0.629370629
IC166,4,8,109,9,0.082568807
N2,4,8,120,109,0.908333333
GR1310,4,9,137,80,0.583941606
LRB429,4,9,131,78,0.595419847
IC166,4,9,106,1,0.009433962
CF1038,4,9,140,48,0.342857143
N2,4,9,106,92,0.867924528
GR1310,4,11,131,59,0.450381679
GR1318,4,11,89,66,0.741573034
LRB429,4,11,150,74,0.493333333
IC166,4,11,93,0,0
CF1038,4,11,143,48,0.335664336
N2,4,11,115,91,0.791304348
GR1310,4,12,111,53,0.477477477
LRB429,4,12,139,73,0.525179856
N2,4,12,117,98,0.837606838
GR1310,4,13,117,33,0.282051282
GR1318,4,13,98,71,0.724489796
CF1038,4,13,142,21,0.147887324
N2,4,13,126,80,0.634920635
GR1310,4,17,58,4,0.068965517
GR1318,4,17,111,47,0.423423423
LRB429,4,17,127,18,0.141732283
CF1038,4,17,145,5,0.034482759
GR1310,4,18,46,0,0
