strain,rep,scoring_method,ethanol,days_after_bleach,alive,total,percentage
daf18,1,direct,plus,1,55,62,0.887096774
daf18,1,direct,plus,2,62,67,0.925373134
daf18,1,direct,plus,4,87,101,0.861386139
daf18,1,direct,plus,5,56,108,0.518518519
daf18,1,direct,plus,6,34,57,0.596491228
daf18,1,direct,plus,7,26,56,0.464285714
daf16,1,direct,plus,1,59,59,1
daf16,1,direct,plus,2,100,100,1
daf16,1,direct,plus,4,57,60,0.95
daf16,1,direct,plus,5,51,58,0.879310345
daf16,1,direct,plus,6,75,95,0.789473684
daf16,1,direct,plus,7,30,50,0.6
daf16,1,direct,plus,8,74,83,0.891566265
daf16,1,direct,plus,11,70,102,0.68627451
daf16,1,direct,plus,12,43,76,0.565789474
daf16,1,direct,plus,13,21,103,0.203883495
daf16,1,direct,plus,14,9,95,0.094736842
daf16,1,direct,plus,17,0,70,0
n2,1,direct,plus,1,81,82,0.987804878
n2,1,direct,plus,2,82,82,1
n2,1,direct,plus,4,96,98,0.979591837
n2,1,direct,plus,5,70,70,1
n2,1,direct,plus,6,81,82,0.987804878
n2,1,direct,plus,7,78,78,1
n2,1,direct,plus,11,74,76,0.973684211
n2,1,direct,plus,13,87,90,0.966666667
n2,1,direct,plus,17,68,88,0.772727273
n2,1,direct,plus,19,77,114,0.675438596
n2,1,direct,plus,21,30,100,0.3
n2,1,direct,plus,22,25,104,0.240384615
daf18,1,indirect,plus,1,57,71,0.802816901
daf18,1,indirect,plus,2,39,61,0.639344262
daf18,1,indirect,plus,4,0,61,0
daf16,1,indirect,plus,1,65,72,0.902777778
daf16,1,indirect,plus,4,25,58,0.431034483
daf16,1,indirect,plus,5,30,76,0.394736842
daf16,1,indirect,plus,6,16,63,0.253968254
daf16,1,indirect,plus,7,10,68,0.147058824
daf16,1,indirect,plus,11,3,93,0.032258065
daf16,1,indirect,plus,12,5,93,0.053763441
daf16,1,indirect,plus,13,0,87,0
n2,1,indirect,plus,1,83,87,0.954022989
n2,1,indirect,plus,2,94,103,0.912621359
n2,1,indirect,plus,4,80,98,0.816326531
n2,1,indirect,plus,5,92,105,0.876190476
n2,1,indirect,plus,7,80,80,1
n2,1,indirect,plus,11,97,104,0.932692308
n2,1,indirect,plus,13,79,92,0.858695652
n2,1,indirect,plus,17,32,105,0.304761905
n2,1,indirect,plus,19,12,101,0.118811881
n2,1,indirect,plus,21,0,98,0
double,1,direct,minus,1,126,127,0.992125984
double,1,direct,minus,2,131,144,0.909722222
double,1,direct,minus,4,49,163,0.300613497
double,1,direct,minus,5,34,137,0.248175182
double,1,direct,minus,6,6,127,0.047244094
double,1,direct,minus,7,2,54,0.037037037
double,1,direct,minus,8,0,130,0
daf18,1,direct,minus,1,63,64,0.984375
daf18,1,direct,minus,2,61,68,0.897058824
daf18,1,direct,minus,4,28,71,0.394366197
daf18,1,direct,minus,5,17,76,0.223684211
daf18,1,direct,minus,6,8,85,0.094117647
daf18,1,direct,minus,7,6,76,0.078947368
daf18,1,direct,minus,8,0,79,0
daf16,1,direct,minus,1,154,159,0.968553459
daf16,1,direct,minus,2,128,134,0.955223881
daf16,1,direct,minus,4,93,116,0.801724138
daf16,1,direct,minus,5,106,153,0.692810458
daf16,1,direct,minus,6,25,99,0.252525253
daf16,1,direct,minus,7,12,89,0.134831461
daf16,1,direct,minus,8,0,86,0
n2,1,direct,minus,1,137,138,0.992753623
n2,1,direct,minus,2,144,148,0.972972973
n2,1,direct,minus,4,97,109,0.889908257
n2,1,direct,minus,5,111,139,0.798561151
n2,1,direct,minus,6,84,103,0.815533981
n2,1,direct,minus,7,76,88,0.863636364
n2,1,direct,minus,8,62,78,0.794871795
n2,1,direct,minus,11,31,100,0.31
n2,1,direct,minus,12,34,116,0.293103448
n2,1,direct,minus,13,27,116,0.232758621
n2,1,direct,minus,14,8,127,0.062992126
n2,1,direct,minus,17,0,111,0
double,2,direct,plus,1,82,85,0.964705882
double,2,direct,plus,2,67,76,0.881578947
double,2,direct,plus,3,74,79,0.936708861
double,2,direct,plus,4,81,84,0.964285714
double,2,direct,plus,5,62,66,0.939393939
double,2,direct,plus,8,57,73,0.780821918
double,2,direct,plus,9,68,111,0.612612613
double,2,direct,plus,11,24,84,0.285714286
double,2,direct,plus,14,0,79,0
daf18,2,direct,plus,1,74,74,1
daf18,2,direct,plus,2,68,71,0.957746479
daf18,2,direct,plus,3,55,58,0.948275862
daf18,2,direct,plus,4,80,85,0.941176471
daf18,2,direct,plus,5,52,56,0.928571429
daf18,2,direct,plus,8,45,61,0.737704918
daf18,2,direct,plus,9,44,75,0.586666667
daf18,2,direct,plus,11,10,66,0.151515152
daf18,2,direct,plus,14,0,49,0
daf16,2,direct,plus,1,207,211,0.981042654
daf16,2,direct,plus,2,100,103,0.970873786
daf16,2,direct,plus,3,87,88,0.988636364
daf16,2,direct,plus,4,72,76,0.947368421
daf16,2,direct,plus,5,71,77,0.922077922
daf16,2,direct,plus,8,74,99,0.747474747
daf16,2,direct,plus,9,75,102,0.735294118
daf16,2,direct,plus,11,38,112,0.339285714
daf16,2,direct,plus,14,0,99,0
n2,2,direct,plus,1,211,219,0.96347032
n2,2,direct,plus,2,111,111,1
n2,2,direct,plus,3,117,118,0.991525424
n2,2,direct,plus,4,95,97,0.979381443
n2,2,direct,plus,8,114,121,0.94214876
n2,2,direct,plus,14,84,109,0.770642202
n2,2,direct,plus,16,59,90,0.655555556
n2,2,direct,plus,18,47,125,0.376
n2,2,direct,plus,19,44,120,0.366666667
n2,2,direct,plus,21,14,129,0.108527132
n2,2,direct,plus,23,8,110,0.072727273
n2,2,direct,plus,25,0,96,0
double,2,indirect,plus,1,88,117,0.752136752
double,2,indirect,plus,2,93,115,0.808695652
double,2,indirect,plus,3,47,100,0.47
double,2,indirect,plus,4,28,82,0.341463415
double,2,indirect,plus,5,29,97,0.298969072
double,2,indirect,plus,8,0,86,0
daf18,2,indirect,plus,1,57,66,0.863636364
daf18,2,indirect,plus,2,76,99,0.767676768
daf18,2,indirect,plus,3,50,97,0.515463918
daf18,2,indirect,plus,4,29,77,0.376623377
daf18,2,indirect,plus,5,35,75,0.466666667
daf18,2,indirect,plus,8,2,83,0.024096386
daf18,2,indirect,plus,9,2,83,0.024096386
daf18,2,indirect,plus,11,0,70,0
daf16,2,indirect,plus,1,88,116,0.75862069
daf16,2,indirect,plus,2,87,119,0.731092437
daf16,2,indirect,plus,3,52,99,0.525252525
daf16,2,indirect,plus,4,40,86,0.465116279
daf16,2,indirect,plus,5,29,84,0.345238095
daf16,2,indirect,plus,8,34,101,0.336633663
daf16,2,indirect,plus,9,16,103,0.155339806
daf16,2,indirect,plus,11,9,119,0.075630252
daf16,2,indirect,plus,14,0,83,0
n2,2,indirect,plus,1,94,108,0.87037037
n2,2,indirect,plus,2,108,117,0.923076923
n2,2,indirect,plus,4,84,90,0.933333333
n2,2,indirect,plus,8,109,131,0.832061069
n2,2,indirect,plus,14,56,111,0.504504505
n2,2,indirect,plus,16,45,118,0.381355932
n2,2,indirect,plus,18,21,131,0.160305344
n2,2,indirect,plus,19,6,118,0.050847458
n2,2,indirect,plus,21,0,130,0
double,2,direct,minus,1,64,65,0.984615385
double,2,direct,minus,2,53,58,0.913793103
double,2,direct,minus,3,22,43,0.511627907
double,2,direct,minus,4,9,34,0.264705882
double,2,direct,minus,5,3,44,0.068181818
double,2,direct,minus,8,0,56,0
daf18,2,direct,minus,1,148,154,0.961038961
daf18,2,direct,minus,2,100,109,0.917431193
daf18,2,direct,minus,3,93,129,0.720930233
daf18,2,direct,minus,4,36,85,0.423529412
daf18,2,direct,minus,5,9,86,0.104651163
daf18,2,direct,minus,8,0,77,0
daf16,2,direct,minus,1,314,323,0.972136223
daf16,2,direct,minus,2,125,131,0.954198473
daf16,2,direct,minus,3,145,154,0.941558442
daf16,2,direct,minus,4,74,103,0.718446602
daf16,2,direct,minus,5,63,122,0.516393443
daf16,2,direct,minus,8,3,128,0.0234375
daf16,2,direct,minus,9,0,149,0
n2,2,direct,minus,1,52,53,0.981132075
n2,2,direct,minus,2,57,58,0.982758621
n2,2,direct,minus,3,52,57,0.912280702
n2,2,direct,minus,4,40,53,0.754716981
n2,2,direct,minus,5,50,86,0.581395349
n2,2,direct,minus,8,41,107,0.38317757
n2,2,direct,minus,9,38,113,0.336283186
n2,2,direct,minus,11,11,108,0.101851852
n2,2,direct,minus,14,0,84,0
double,3,direct,plus,1,110,115,0.956521739
double,3,direct,plus,2,100,102,0.980392157
double,3,direct,plus,3,88,94,0.936170213
double,3,direct,plus,4,51,54,0.944444444
double,3,direct,plus,7,16,38,0.421052632
double,3,direct,plus,8,12,69,0.173913043
double,3,direct,plus,9,9,116,0.077586207
double,3,direct,plus,10,1,109,0.009174312
double,3,direct,plus,13,0,135,0
daf18,3,direct,plus,1,41,43,0.953488372
