wb_id,Term
WBGene00003525,Becky's UP in daf-16
WBGene00007073,Becky's UP in daf-16
WBGene00007112,Becky's UP in daf-16
WBGene00015026,Becky's UP in daf-16
WBGene00015050,Becky's UP in daf-16
WBGene00006418,Becky's UP in daf-16
WBGene00015085,Becky's UP in daf-16
WBGene00015080,Becky's UP in daf-16
WBGene00015082,Becky's UP in daf-16
WBGene00000211,Becky's UP in daf-16
WBGene00015141,Becky's UP in daf-16
WBGene00015152,Becky's UP in daf-16
WBGene00001137,Becky's UP in daf-16
WBGene00007152,Becky's UP in daf-16
WBGene00007153,Becky's UP in daf-16
WBGene00015186,Becky's UP in daf-16
WBGene00007181,Becky's UP in daf-16
WBGene00003730,Becky's UP in daf-16
WBGene00015231,Becky's UP in daf-16
WBGene00015258,Becky's UP in daf-16
WBGene00044687,Becky's UP in daf-16
WBGene00007215,Becky's UP in daf-16
WBGene00007220,Becky's UP in daf-16
WBGene00006438,Becky's UP in daf-16
WBGene00007254,Becky's UP in daf-16
WBGene00015333,Becky's UP in daf-16
WBGene00006431,Becky's UP in daf-16
WBGene00002202,Becky's UP in daf-16
WBGene00007275,Becky's UP in daf-16
WBGene00015403,Becky's UP in daf-16
WBGene00015438,Becky's UP in daf-16
WBGene00015455,Becky's UP in daf-16
WBGene00007331,Becky's UP in daf-16
WBGene00001795,Becky's UP in daf-16
WBGene00015484,Becky's UP in daf-16
WBGene00007339,Becky's UP in daf-16
WBGene00014666,Becky's UP in daf-16
WBGene00000136,Becky's UP in daf-16
WBGene00015509,Becky's UP in daf-16
WBGene00007368,Becky's UP in daf-16
WBGene00015537,Becky's UP in daf-16
WBGene00003571,Becky's UP in daf-16
WBGene00007405,Becky's UP in daf-16
WBGene00003828,Becky's UP in daf-16
WBGene00007419,Becky's UP in daf-16
WBGene00003813,Becky's UP in daf-16
WBGene00044044,Becky's UP in daf-16
WBGene00015609,Becky's UP in daf-16
WBGene00015611,Becky's UP in daf-16
WBGene00006981,Becky's UP in daf-16
WBGene00015646,Becky's UP in daf-16
WBGene00007482,Becky's UP in daf-16
WBGene00015676,Becky's UP in daf-16
WBGene00003567,Becky's UP in daf-16
WBGene00015692,Becky's UP in daf-16
WBGene00007533,Becky's UP in daf-16
WBGene00003026,Becky's UP in daf-16
WBGene00001620,Becky's UP in daf-16
WBGene00015706,Becky's UP in daf-16
WBGene00015710,Becky's UP in daf-16
WBGene00007536,Becky's UP in daf-16
WBGene00003573,Becky's UP in daf-16
WBGene00015768,Becky's UP in daf-16
WBGene00007605,Becky's UP in daf-16
WBGene00015810,Becky's UP in daf-16
WBGene00015828,Becky's UP in daf-16
WBGene00015829,Becky's UP in daf-16
WBGene00015865,Becky's UP in daf-16
WBGene00015929,Becky's UP in daf-16
WBGene00015933,Becky's UP in daf-16
WBGene00007672,Becky's UP in daf-16
WBGene00016004,Becky's UP in daf-16
WBGene00006611,Becky's UP in daf-16
WBGene00016023,Becky's UP in daf-16
WBGene00016063,Becky's UP in daf-16
WBGene00016064,Becky's UP in daf-16
WBGene00016093,Becky's UP in daf-16
WBGene00023417,Becky's UP in daf-16
WBGene00016103,Becky's UP in daf-16
WBGene00050967,Becky's UP in daf-16
WBGene00007729,Becky's UP in daf-16
WBGene00016134,Becky's UP in daf-16
WBGene00007748,Becky's UP in daf-16
WBGene00006916,Becky's UP in daf-16
WBGene00016174,Becky's UP in daf-16
WBGene00016175,Becky's UP in daf-16
WBGene00002879,Becky's UP in daf-16
WBGene00002827,Becky's UP in daf-16
WBGene00007808,Becky's UP in daf-16
WBGene00007835,Becky's UP in daf-16
WBGene00006404,Becky's UP in daf-16
WBGene00007857,Becky's UP in daf-16
WBGene00016314,Becky's UP in daf-16
WBGene00007866,Becky's UP in daf-16
WBGene00007867,Becky's UP in daf-16
WBGene00006679,Becky's UP in daf-16
WBGene00007896,Becky's UP in daf-16
WBGene00016424,Becky's UP in daf-16
WBGene00016425,Becky's UP in daf-16
WBGene00000681,Becky's UP in daf-16
WBGene00016431,Becky's UP in daf-16
WBGene00016450,Becky's UP in daf-16
WBGene00044120,Becky's UP in daf-16
WBGene00008042,Becky's UP in daf-16
WBGene00006739,Becky's UP in daf-16
WBGene00001231,Becky's UP in daf-16
WBGene00016607,Becky's UP in daf-16
WBGene00004058,Becky's UP in daf-16
WBGene00016644,Becky's UP in daf-16
WBGene00008084,Becky's UP in daf-16
WBGene00008091,Becky's UP in daf-16
WBGene00016664,Becky's UP in daf-16
WBGene00016728,Becky's UP in daf-16
WBGene00004003,Becky's UP in daf-16
WBGene00008123,Becky's UP in daf-16
WBGene00008132,Becky's UP in daf-16
WBGene00003605,Becky's UP in daf-16
WBGene00008180,Becky's UP in daf-16
WBGene00008202,Becky's UP in daf-16
WBGene00008199,Becky's UP in daf-16
WBGene00008205,Becky's UP in daf-16
WBGene00008220,Becky's UP in daf-16
WBGene00008235,Becky's UP in daf-16
WBGene00008233,Becky's UP in daf-16
WBGene00000781,Becky's UP in daf-16
WBGene00016906,Becky's UP in daf-16
WBGene00016912,Becky's UP in daf-16
WBGene00008320,Becky's UP in daf-16
WBGene00016939,Becky's UP in daf-16
WBGene00016977,Becky's UP in daf-16
WBGene00044134,Becky's UP in daf-16
WBGene00008366,Becky's UP in daf-16
WBGene00008401,Becky's UP in daf-16
WBGene00017071,Becky's UP in daf-16
WBGene00004005,Becky's UP in daf-16
WBGene00008451,Becky's UP in daf-16
WBGene00077757,Becky's UP in daf-16
WBGene00003169,Becky's UP in daf-16
WBGene00004020,Becky's UP in daf-16
WBGene00017160,Becky's UP in daf-16
WBGene00017163,Becky's UP in daf-16
WBGene00001158,Becky's UP in daf-16
WBGene00001386,Becky's UP in daf-16
WBGene00000539,Becky's UP in daf-16
WBGene00000003,Becky's UP in daf-16
WBGene00017205,Becky's UP in daf-16
WBGene00005441,Becky's UP in daf-16
WBGene00017214,Becky's UP in daf-16
WBGene00008560,Becky's UP in daf-16
WBGene00008565,Becky's UP in daf-16
WBGene00004358,Becky's UP in daf-16
WBGene00008583,Becky's UP in daf-16
WBGene00008584,Becky's UP in daf-16
WBGene00023502,Becky's UP in daf-16
WBGene00008593,Becky's UP in daf-16
WBGene00008596,Becky's UP in daf-16
WBGene00008607,Becky's UP in daf-16
WBGene00017322,Becky's UP in daf-16
WBGene00008634,Becky's UP in daf-16
WBGene00044296,Becky's UP in daf-16
WBGene00006163,Becky's UP in daf-16
WBGene00017341,Becky's UP in daf-16
WBGene00017364,Becky's UP in daf-16
WBGene00008669,Becky's UP in daf-16
WBGene00001591,Becky's UP in daf-16
WBGene00017375,Becky's UP in daf-16
WBGene00017376,Becky's UP in daf-16
WBGene00006886,Becky's UP in daf-16
WBGene00023501,Becky's UP in daf-16
WBGene00001756,Becky's UP in daf-16
WBGene00017398,Becky's UP in daf-16
WBGene00001679,Becky's UP in daf-16
WBGene00008749,Becky's UP in daf-16
WBGene00008762,Becky's UP in daf-16
WBGene00017464,Becky's UP in daf-16
WBGene00077751,Becky's UP in daf-16
WBGene00008793,Becky's UP in daf-16
WBGene00008795,Becky's UP in daf-16
WBGene00008804,Becky's UP in daf-16
WBGene00003411,Becky's UP in daf-16
WBGene00017480,Becky's UP in daf-16
WBGene00017506,Becky's UP in daf-16
WBGene00008923,Becky's UP in daf-16
WBGene00017553,Becky's UP in daf-16
WBGene00017592,Becky's UP in daf-16
WBGene00017595,Becky's UP in daf-16
WBGene00017596,Becky's UP in daf-16
WBGene00002222,Becky's UP in daf-16
WBGene00017651,Becky's UP in daf-16
WBGene00003620,Becky's UP in daf-16
WBGene00009008,Becky's UP in daf-16
WBGene00017681,Becky's UP in daf-16
WBGene00017677,Becky's UP in daf-16
WBGene00044287,Becky's UP in daf-16
WBGene00017691,Becky's UP in daf-16
WBGene00006075,Becky's UP in daf-16
WBGene00009048,Becky's UP in daf-16
WBGene00004006,Becky's UP in daf-16
WBGene00009057,Becky's UP in daf-16
WBGene00003958,Becky's UP in daf-16
WBGene00003957,Becky's UP in daf-16
WBGene00009087,Becky's UP in daf-16
WBGene00044455,Becky's UP in daf-16
WBGene00017751,Becky's UP in daf-16
WBGene00017794,Becky's UP in daf-16
WBGene00001592,Becky's UP in daf-16
WBGene00003816,Becky's UP in daf-16
WBGene00017798,Becky's UP in daf-16
WBGene00004408,Becky's UP in daf-16
WBGene00009133,Becky's UP in daf-16
WBGene00002073,Becky's UP in daf-16
WBGene00003598,Becky's UP in daf-16
WBGene00017861,Becky's UP in daf-16
WBGene00017867,Becky's UP in daf-16
WBGene00009215,Becky's UP in daf-16
WBGene00044137,Becky's UP in daf-16
WBGene00009236,Becky's UP in daf-16
WBGene00009237,Becky's UP in daf-16
WBGene00017947,Becky's UP in daf-16
WBGene00017948,Becky's UP in daf-16
WBGene00017969,Becky's UP in daf-16
WBGene00009342,Becky's UP in daf-16
WBGene00009347,Becky's UP in daf-16
WBGene00009361,Becky's UP in daf-16
WBGene00009404,Becky's UP in daf-16
WBGene00009395,Becky's UP in daf-16
WBGene00009432,Becky's UP in daf-16
WBGene00009483,Becky's UP in daf-16
WBGene00009485,Becky's UP in daf-16
WBGene00009493,Becky's UP in daf-16
WBGene00004483,Becky's UP in daf-16
WBGene00009515,Becky's UP in daf-16
WBGene00009523,Becky's UP in daf-16
WBGene00009518,Becky's UP in daf-16
WBGene00002274,Becky's UP in daf-16
WBGene00009560,Becky's UP in daf-16
WBGene00018237,Becky's UP in daf-16
WBGene00018253,Becky's UP in daf-16
WBGene00018255,Becky's UP in daf-16
WBGene00018315,Becky's UP in daf-16
WBGene00018340,Becky's UP in daf-16
WBGene00018342,Becky's UP in daf-16
WBGene00006979,Becky's UP in daf-16
WBGene00018392,Becky's UP in daf-16
WBGene00018412,Becky's UP in daf-16
WBGene00000784,Becky's UP in daf-16
WBGene00009706,Becky's UP in daf-16
WBGene00009724,Becky's UP in daf-16
WBGene00009729,Becky's UP in daf-16
WBGene00014759,Becky's UP in daf-16
WBGene00014761,Becky's UP in daf-16
WBGene00018488,Becky's UP in daf-16
WBGene00009798,Becky's UP in daf-16
WBGene00004238,Becky's UP in daf-16
WBGene00009813,Becky's UP in daf-16
WBGene00018540,Becky's UP in daf-16
WBGene00195179,Becky's UP in daf-16
WBGene00003055,Becky's UP in daf-16
WBGene00009854,Becky's UP in daf-16
WBGene00009855,Becky's UP in daf-16
WBGene00009856,Becky's UP in daf-16
WBGene00009857,Becky's UP in daf-16
WBGene00009859,Becky's UP in daf-16
WBGene00009860,Becky's UP in daf-16
WBGene00009884,Becky's UP in daf-16
WBGene00044163,Becky's UP in daf-16
WBGene00001450,Becky's UP in daf-16
WBGene00009904,Becky's UP in daf-16
WBGene00009898,Becky's UP in daf-16
WBGene00009902,Becky's UP in daf-16
WBGene00009914,Becky's UP in daf-16
WBGene00009908,Becky's UP in daf-16
WBGene00044696,Becky's UP in daf-16
WBGene00009968,Becky's UP in daf-16
WBGene00009971,Becky's UP in daf-16
WBGene00018760,Becky's UP in daf-16
WBGene00009984,Becky's UP in daf-16
WBGene00018779,Becky's UP in daf-16
WBGene00018786,Becky's UP in daf-16
WBGene00018789,Becky's UP in daf-16
WBGene00010036,Becky's UP in daf-16
WBGene00000008,Becky's UP in daf-16
WBGene00010070,Becky's UP in daf-16
WBGene00018837,Becky's UP in daf-16
WBGene00010080,Becky's UP in daf-16
WBGene00023069,Becky's UP in daf-16
WBGene00010083,Becky's UP in daf-16
WBGene00003812,Becky's UP in daf-16
WBGene00018882,Becky's UP in daf-16
WBGene00010116,Becky's UP in daf-16
WBGene00010118,Becky's UP in daf-16
WBGene00018907,Becky's UP in daf-16
WBGene00010123,Becky's UP in daf-16
WBGene00010125,Becky's UP in daf-16
WBGene00001403,Becky's UP in daf-16
WBGene00002783,Becky's UP in daf-16
WBGene00010204,Becky's UP in daf-16
WBGene00010209,Becky's UP in daf-16
WBGene00010212,Becky's UP in daf-16
WBGene00003093,Becky's UP in daf-16
WBGene00010238,Becky's UP in daf-16
WBGene00003734,Becky's UP in daf-16
WBGene00010262,Becky's UP in daf-16
WBGene00019105,Becky's UP in daf-16
WBGene00005892,Becky's UP in daf-16
WBGene00010336,Becky's UP in daf-16
WBGene00019164,Becky's UP in daf-16
WBGene00010373,Becky's UP in daf-16
WBGene00019204,Becky's UP in daf-16
WBGene00019213,Becky's UP in daf-16
WBGene00019214,Becky's UP in daf-16
WBGene00019215,Becky's UP in daf-16
WBGene00019259,Becky's UP in daf-16
WBGene00019285,Becky's UP in daf-16
WBGene00019280,Becky's UP in daf-16
WBGene00010473,Becky's UP in daf-16
WBGene00001149,Becky's UP in daf-16
WBGene00019321,Becky's UP in daf-16
WBGene00010512,Becky's UP in daf-16
WBGene00001392,Becky's UP in daf-16
WBGene00044719,Becky's UP in daf-16
WBGene00003877,Becky's UP in daf-16
WBGene00019400,Becky's UP in daf-16
WBGene00000799,Becky's UP in daf-16
WBGene00019411,Becky's UP in daf-16
WBGene00019421,Becky's UP in daf-16
WBGene00003522,Becky's UP in daf-16
WBGene00010595,Becky's UP in daf-16
WBGene00010627,Becky's UP in daf-16
WBGene00019493,Becky's UP in daf-16
WBGene00019533,Becky's UP in daf-16
WBGene00019532,Becky's UP in daf-16
WBGene00019536,Becky's UP in daf-16
WBGene00003995,Becky's UP in daf-16
WBGene00019547,Becky's UP in daf-16
WBGene00010722,Becky's UP in daf-16
WBGene00010724,Becky's UP in daf-16
WBGene00019589,Becky's UP in daf-16
WBGene00019605,Becky's UP in daf-16
WBGene00000857,Becky's UP in daf-16
WBGene00019617,Becky's UP in daf-16
WBGene00010731,Becky's UP in daf-16
WBGene00010746,Becky's UP in daf-16
WBGene00010749,Becky's UP in daf-16
WBGene00010750,Becky's UP in daf-16
WBGene00189952,Becky's UP in daf-16
WBGene00010744,Becky's UP in daf-16
WBGene00010755,Becky's UP in daf-16
WBGene00019682,Becky's UP in daf-16
WBGene00006195,Becky's UP in daf-16
WBGene00010811,Becky's UP in daf-16
WBGene00019738,Becky's UP in daf-16
WBGene00010834,Becky's UP in daf-16
WBGene00004206,Becky's UP in daf-16
WBGene00019763,Becky's UP in daf-16
WBGene00010867,Becky's UP in daf-16
WBGene00001523,Becky's UP in daf-16
WBGene00010925,Becky's UP in daf-16
WBGene00014813,Becky's UP in daf-16
WBGene00002056,Becky's UP in daf-16
WBGene00019779,Becky's UP in daf-16
WBGene00000282,Becky's UP in daf-16
WBGene00005893,Becky's UP in daf-16
WBGene00011006,Becky's UP in daf-16
WBGene00002057,Becky's UP in daf-16
WBGene00011020,Becky's UP in daf-16
WBGene00019906,Becky's UP in daf-16
WBGene00001608,Becky's UP in daf-16
WBGene00019931,Becky's UP in daf-16
WBGene00019932,Becky's UP in daf-16
WBGene00019933,Becky's UP in daf-16
WBGene00019934,Becky's UP in daf-16
WBGene00019917,Becky's UP in daf-16
WBGene00044330,Becky's UP in daf-16
WBGene00019979,Becky's UP in daf-16
WBGene00019977,Becky's UP in daf-16
WBGene00000558,Becky's UP in daf-16
WBGene00011161,Becky's UP in daf-16
WBGene00011182,Becky's UP in daf-16
WBGene00011185,Becky's UP in daf-16
WBGene00011212,Becky's UP in daf-16
WBGene00014821,Becky's UP in daf-16
WBGene00011222,Becky's UP in daf-16
WBGene00020004,Becky's UP in daf-16
WBGene00020015,Becky's UP in daf-16
WBGene00020016,Becky's UP in daf-16
WBGene00007016,Becky's UP in daf-16
WBGene00020054,Becky's UP in daf-16
WBGene00011307,Becky's UP in daf-16
WBGene00020128,Becky's UP in daf-16
WBGene00003837,Becky's UP in daf-16
WBGene00011321,Becky's UP in daf-16
WBGene00001423,Becky's UP in daf-16
WBGene00020160,Becky's UP in daf-16
WBGene00004061,Becky's UP in daf-16
WBGene00000776,Becky's UP in daf-16
WBGene00020230,Becky's UP in daf-16
WBGene00020258,Becky's UP in daf-16
WBGene00001453,Becky's UP in daf-16
WBGene00014506,Becky's UP in daf-16
WBGene00011566,Becky's UP in daf-16
WBGene00011579,Becky's UP in daf-16
WBGene00020326,Becky's UP in daf-16
WBGene00005188,Becky's UP in daf-16
