ens_gene,ext_gene,target_id,b,se_b,qval,genotype,sorter,code
WBGene00000007,aat-6,T11F9.4,1.080047932,0.158510768,1.74E-09,daf-16,4,c
WBGene00000008,aat-7,F54D12.3,1.576522781,0.521428693,0.046240325,daf-16,4,c
WBGene00000102,akt-1,C12D8.10,-1.339430305,0.176275106,8.31E-12,daf-16,4,c
WBGene00000103,akt-2,F28H6.1,-0.850776817,0.152492127,2.41E-06,daf-16,4,c
WBGene00000107,alh-1,F54D8.3,-0.438794917,0.160672056,0.097122316,daf-16,4,c
WBGene00000118,alh-12,Y69F12A.2,-0.358740764,0.131392895,0.097159503,daf-16,4,c
WBGene00000133,amt-1,C05E11.4,1.547806638,0.238649431,1.40E-08,daf-16,4,c
WBGene00000136,amt-4,C05E11.5,-1.052597541,0.166646759,3.94E-08,daf-16,4,c
WBGene00000176,aqp-8,K02G10.7,0.463323564,0.165686256,0.082605299,daf-16,4,c
WBGene00000177,aqp-9,K07A1.16,0.471351814,0.170372001,0.088862663,daf-16,4,c
WBGene00000213,asm-3,W03G1.7,1.358232917,0.320868641,9.94E-04,daf-16,4,c
WBGene00000257,bmk-1,F23B12.8,0.674511898,0.241698779,0.083781654,daf-16,4,c
WBGene00000275,bub-1,R06C7.8,0.670140858,0.157551515,9.43E-04,daf-16,4,c
WBGene00000301,cav-1,T13F2.8,1.025295827,0.305479441,0.019287626,daf-16,4,c
WBGene00000370,ccg-1,Y73F8A.6,-0.559885633,0.146050697,0.004181988,daf-16,4,c
WBGene00000391,cdd-1,C47D2.2,0.530016358,0.158963296,0.020607731,daf-16,4,c
WBGene00000411,cdl-1,R06F6.1,0.928284804,0.143669722,1.61E-08,daf-16,4,c
WBGene00000528,clh-1,T27D12.2,0.587160159,0.151896998,0.00379394,daf-16,4,c
WBGene00000535,cpi-1,K08B4.6,-0.876557786,0.258237091,0.017416146,daf-16,4,c
WBGene00000541,cln-3.3,ZC190.1,0.756957686,0.253027021,0.050255137,daf-16,4,c
WBGene00000542,clp-1,C06G4.2,-0.496536434,0.124005926,0.002315414,daf-16,4,c
WBGene00000551,clx-1,C50F7.2,-2.673877114,0.675257533,0.00268662,daf-16,4,c
WBGene00000557,cnc-3,R09B5.8,1.967218776,0.374759345,1.25E-05,daf-16,4,c
WBGene00000606,col-17,F11G11.10,5.657647225,1.578090369,0.009706123,daf-16,4,c
WBGene00000618,col-41,T10B10.1,4.566455907,1.367185886,0.020387828,daf-16,4,c
WBGene00000656,col-80,C09G5.5,-1.124239506,0.169778599,6.03E-09,daf-16,4,c
WBGene00000664,col-89,F17C8.2,-0.753861008,0.257442323,0.059536156,daf-16,4,c
WBGene00000665,col-90,C29E4.1,5.406677081,1.408132004,0.004107576,daf-16,4,c
WBGene00000666,col-91,F09G8.6,-1.104848469,0.264450877,0.001241648,daf-16,4,c
WBGene00000673,col-98,F14F7.1,-1.744615014,0.253593493,1.13E-09,daf-16,4,c
WBGene00000677,col-103,F56B3.1,-1.483306463,0.272382091,4.81E-06,daf-16,4,c
WBGene00000775,cpin-1,F38E11.3,-0.668335636,0.232067596,0.067274401,daf-16,4,c
WBGene00000779,cpn-3,F28H1.2,-1.102539316,0.19980142,3.30E-06,daf-16,4,c
WBGene00000782,cpr-2,F36D3.9,-4.334808463,0.344828648,8.81E-33,daf-16,4,c
WBGene00000784,cpr-4,F44C4.3,1.5727239,0.153689297,1.07E-21,daf-16,4,c
WBGene00000785,cpr-5,W07B8.5,1.480111127,0.165034907,1.74E-16,daf-16,4,c
WBGene00000786,cpr-6,C25B8.3,-0.97783649,0.227861415,8.06E-04,daf-16,4,c
WBGene00000799,crn-6,K04H4.6,0.581835692,0.179835989,0.027100542,daf-16,4,c
WBGene00000898,daf-2,Y55D5A.5,-0.470411799,0.134409448,0.012535557,daf-16,4,c
WBGene00000901,daf-5,W01G7.1,-0.497389738,0.162715533,0.042765528,daf-16,4,c
WBGene00000912,daf-16,R13H8.1,0.636690818,0.161906272,0.002974297,daf-16,4,c
WBGene00000920,daf-28,Y116F11B.1,0.729270961,0.216658958,0.018753226,daf-16,4,c
WBGene00000928,dao-2,M03A1.7,3.378934831,1.093241897,0.039419905,daf-16,4,c
WBGene00000932,dao-6,T05G5.12,-2.091846183,0.601655532,0.013486855,daf-16,4,c
WBGene00000966,dhs-2,F55A12.4,-1.499624853,0.353627621,9.75E-04,daf-16,4,c
WBGene00000971,dhs-7,E04F6.7,-1.145408632,0.249362636,2.35E-04,daf-16,4,c
WBGene00000975,dhs-12,K08F4.9,-1.25470916,0.203238695,9.01E-08,daf-16,4,c
WBGene00000977,dhs-14,R05D8.8,-1.310495397,0.234558827,2.31E-06,daf-16,4,c
WBGene00000978,dhs-15,R05D8.10,-1.152891054,0.22370342,1.95E-05,daf-16,4,c
WBGene00000982,dhs-19,T11F9.11,-0.788535454,0.261886557,0.047635325,daf-16,4,c
WBGene00000983,dhs-20,F35B12.2,-2.01416015,0.694357404,0.063963237,daf-16,4,c
WBGene00000990,dhs-27,C04F6.5,1.102064393,0.326425717,0.018291594,daf-16,4,c
WBGene00000993,dhs-30,T25G12.7,-1.214697616,0.280068373,6.81E-04,daf-16,4,c
WBGene00000998,dig-1,K07E12.1,-0.490293833,0.137953464,0.010672647,daf-16,4,c
WBGene00001049,dog-1,F33H2.1,0.628650942,0.189673751,0.021731484,daf-16,4,c
WBGene00001064,dpy-2,T14B4.6,3.287259793,0.963846564,0.016531348,daf-16,4,c
WBGene00001071,dpy-9,T21D12.2,3.619565604,1.316903392,0.092900072,daf-16,4,c
WBGene00001079,dpy-20,T22B3.1,1.95723744,0.510827562,0.004206467,daf-16,4,c
WBGene00001156,ech-7,Y105E8A.4,-0.816954433,0.265807349,0.041210124,daf-16,4,c
WBGene00001210,egl-46,K11G9.4,0.930682649,0.294753587,0.032999223,daf-16,4,c
WBGene00001244,elo-6,F41H10.8,-1.244479384,0.204022084,1.37E-07,daf-16,4,c
WBGene00001262,emb-8,K10D2.6,-0.830404849,0.204366873,0.001887323,daf-16,4,c
WBGene00001385,far-1,F02A9.2,0.546867967,0.113599728,9.41E-05,daf-16,4,c
WBGene00001386,far-2,F02A9.3,0.965304503,0.204646735,1.42E-04,daf-16,4,c
WBGene00001390,far-6,W02A2.2,0.693873408,0.19777446,0.012299368,daf-16,4,c
WBGene00001395,fat-3,W08D2.4,0.475128121,0.150019171,0.032157576,daf-16,4,c
WBGene00001402,fbf-2,F21H12.5,0.734322529,0.2409521,0.043579841,daf-16,4,c
WBGene00001404,fbp-1,K07A3.1,-0.558752525,0.18733278,0.051231341,daf-16,4,c
WBGene00001439,fkh-7,F26D12.1,-0.825773689,0.230312099,0.009706123,daf-16,4,c
WBGene00001476,fmo-1,K08C7.2,-0.905578797,0.190588298,1.23E-04,daf-16,4,c
WBGene00001479,fmo-4,F53F4.5,-0.844984295,0.189580663,4.21E-04,daf-16,4,c
WBGene00001491,frm-4,C24A11.8,-0.717319454,0.144986022,5.29E-05,daf-16,4,c
WBGene00001500,ftn-1,C54F6.14,-2.294514714,0.519727651,4.98E-04,daf-16,4,c
WBGene00001530,gcy-3,R134.1,-1.477906785,0.54224265,0.097941158,daf-16,4,c
WBGene00001542,gcy-17,W03F11.2,-0.992560594,0.26923351,0.00696387,daf-16,4,c
WBGene00001651,gon-2,T01H8.5,-0.455829225,0.148942548,0.042441483,daf-16,4,c
WBGene00001674,gpa-12,F18G5.3,-0.838360448,0.217030237,0.003823579,daf-16,4,c
WBGene00001676,gpa-14,B0207.3,-0.623260668,0.197088845,0.032549155,daf-16,4,c
WBGene00001684,gpd-2,K10B3.8,-0.649927659,0.14714446,4.95E-04,daf-16,4,c
WBGene00001685,gpd-3,K10B3.7,-0.624743829,0.139825139,4.01E-04,daf-16,4,c
WBGene00001692,grd-3,W05E7.1,-1.629417536,0.217270334,1.68E-11,daf-16,4,c
WBGene00001694,grd-5,F41E6.2,-2.191268407,0.332727364,7.42E-09,daf-16,4,c
