gene_id,N2_fed_sample01,double_sample10,N2_fed_sample11,N2_starv_sample12,daf-16_sample13,daf-18_sample14,double_sample15,N2_fed_sample16,daf-16_sample18,N2_starv_sample02,N2_starv_sample22,daf-18_sample24,double_sample25,daf-16_sample03,daf-18_sample04,double_sample05,N2_fed_sample06,N2_starv_sample07,daf-16_sample08,daf-18_sample09
ERCC-00002,54364,45269,28622,12556,22983,38640,30101,45948,66044,40114,26098,28073,32636,44703,63489,49869,52515,30274,23268,27910
ERCC-00003,3165,3031,1549,795,1505,2241,1809,2818,3971,1967,1686,1842,2028,2812,4077,2768,3002,1858,1500,1850
ERCC-00004,12118,12045,6109,2672,5372,7979,6257,9492,13373,7529,5664,6352,6949,10636,15181,11116,11803,7206,5963,7710
ERCC-00009,1537,1299,829,342,705,1055,894,1279,1907,1188,676,831,1000,1241,1845,1430,1477,939,692,835
ERCC-00012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
ERCC-00013,3,8,4,0,2,2,0,3,3,4,1,1,5,3,13,2,1,3,1,2
ERCC-00014,4,6,12,0,0,0,3,7,2,3,6,3,8,1,17,3,1,2,4,11
ERCC-00016,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ERCC-00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ERCC-00019,53,79,21,12,37,33,40,40,77,41,24,33,27,43,83,80,50,30,20,37
ERCC-00022,533,516,279,94,245,407,326,468,763,406,260,263,348,419,687,530,564,316,238,302
ERCC-00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ERCC-00025,110,133,87,37,60,143,90,180,243,131,67,123,103,137,236,119,130,98,73,101
ERCC-00028,14,5,13,1,8,9,6,18,6,10,6,10,15,17,14,5,4,4,6,5
ERCC-00031,4,12,5,2,1,5,1,6,8,5,3,5,3,8,5,1,4,8,0,6
ERCC-00033,1,3,1,1,0,2,3,2,0,2,1,0,3,7,2,3,8,1,3,0
ERCC-00034,59,29,20,9,25,36,25,43,53,26,14,32,32,19,73,32,28,32,19,21
ERCC-00035,218,184,114,39,79,135,122,156,271,109,100,116,131,130,236,197,153,105,89,99
ERCC-00039,0,0,1,0,3,5,4,9,25,1,3,4,4,5,7,3,3,6,2,6
ERCC-00040,0,3,1,2,0,0,3,3,4,1,0,4,1,3,0,2,4,0,0,3
ERCC-00041,0,6,0,0,0,0,2,1,1,3,1,4,0,0,0,4,0,1,0,5
ERCC-00042,807,775,405,172,352,585,487,749,1013,490,425,542,583,807,1069,802,948,581,375,491
ERCC-00043,1800,1500,885,368,677,1063,784,1248,1921,1374,712,840,896,1459,2212,1443,1614,979,778,950
ERCC-00044,216,164,118,56,97,148,125,178,262,195,112,138,129,137,250,182,146,101,92,110
ERCC-00046,7284,6365,3954,1638,3298,4964,3781,5880,8098,6431,3231,3816,4452,5812,9288,6733,7081,4049,3316,4016
ERCC-00048,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00051,13,9,8,7,6,12,15,8,17,7,7,3,9,8,32,22,11,12,5,10
ERCC-00053,82,71,32,18,37,34,34,65,86,53,30,73,32,56,94,77,58,50,33,59
ERCC-00054,0,8,2,2,2,1,2,1,2,6,0,2,5,0,3,1,0,2,3,5
ERCC-00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00058,5,4,1,1,1,1,4,9,6,6,2,6,2,4,6,2,8,5,1,4
ERCC-00059,28,25,14,2,9,20,13,29,29,7,9,8,11,21,30,39,11,16,12,16
ERCC-00060,740,577,369,137,307,462,304,500,798,516,295,355,389,618,958,665,771,421,335,429
ERCC-00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00062,226,215,122,50,92,164,118,220,283,168,99,144,103,229,335,229,213,135,96,109
ERCC-00067,3,1,1,1,5,3,2,4,1,5,5,1,3,2,17,2,0,4,2,0
ERCC-00069,6,0,7,1,2,7,4,5,8,4,8,7,5,8,11,15,30,6,2,4
ERCC-00071,129,118,101,32,73,99,86,120,150,112,96,72,98,124,160,138,142,95,71,101
ERCC-00073,0,0,0,0,1,1,0,0,0,3,6,0,1,4,5,0,5,0,0,0
ERCC-00074,27096,27155,14127,5927,12457,17587,13278,20275,30435,18112,13416,14212,17065,23998,36630,25124,27816,18132,13758,17083
ERCC-00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00076,466,426,259,97,188,281,235,387,515,416,228,235,247,368,579,396,477,258,201,229
